id,education,marital_status,income$,kidhome,teenhome,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,year,month,month_name,day,day_name,quarter,weekday,week_categories,season,days_of_purchases
1826,Graduation,Divorced,84835.0,0,0,189.0,104.0,379.0,111.0,189.0,218.0,1,4,4,6,1,0,0,0,0,0,1,0,SP,54,2014,6,June,16,Monday,2,0,WorkDay,Summer,Top Sellers
1,Graduation,Single,57091.0,0,0,464.0,5.0,64.0,7.0,0.0,37.0,1,7,3,7,5,0,0,0,0,1,1,0,CA,63,2014,6,June,15,Sunday,2,6,WeekEnd,Summer,Top Sellers
10476,Graduation,Married,67267.0,0,1,134.0,11.0,59.0,15.0,2.0,30.0,1,3,2,5,2,0,0,0,0,0,0,0,US,66,2014,5,May,13,Tuesday,2,1,WorkDay,Spring,Top Sellers
1386,Graduation,Together,32474.0,1,1,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,57,2014,5,May,11,Sunday,2,6,WeekEnd,Spring,Top Sellers
5371,Graduation,Single,21474.0,1,0,6.0,16.0,24.0,11.0,0.0,34.0,2,3,1,2,7,1,0,0,0,0,1,0,SP,35,2014,4,April,8,Tuesday,2,1,WorkDay,Spring,Top Sellers
7348,PhD,Single,71691.0,0,0,336.0,130.0,411.0,240.0,32.0,43.0,1,4,7,5,2,0,0,0,0,0,1,0,SP,66,2014,3,March,17,Monday,1,0,WorkDay,Spring,Top Sellers
4073,2n Cycle,Married,63564.0,0,0,769.0,80.0,252.0,15.0,34.0,65.0,1,10,10,7,6,1,0,0,0,0,1,0,GER,70,2014,1,January,29,Wednesday,1,2,WorkDay,Winter,Top Sellers
1991,Graduation,Together,44931.0,0,1,78.0,0.0,11.0,0.0,0.0,7.0,1,2,1,3,5,0,0,0,0,0,0,0,SP,57,2014,1,January,18,Saturday,1,5,WeekEnd,Winter,Top Sellers
4047,PhD,Married,65324.0,0,1,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,0,US,70,2014,1,January,11,Saturday,1,5,WeekEnd,Winter,Top Sellers
9477,PhD,Married,65324.0,0,1,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,0,IND,70,2014,1,January,11,Saturday,1,5,WeekEnd,Winter,Top Sellers
